3,8,2,0
9,1,5,30
4,8,6,58
2,0,5,82
5,7,1,117
0,8,1,149
3,9,2,184
9,9,1,219
5,7,5,250
6,0,1,285
8,0,3,317
0,9,4,342
0,7,7,373
1,9,2,404
1,7,11,427
9,0,4,461
1,7,6,490
1,8,2,517
0,8,4,546
9,6,1,581
2,4,2,608
7,2,6,637
7,3,3,671
2,7,5,700
5,4,1,730
1,5,1,762
4,4,3,794
5,2,4,822
8,5,2,854
8,2,3,886
7,7,2,913
5,6,1,941
2,9,2,968
3,0,17,1002
0,8,11,1030
8,0,5,1060
7,7,1,1091
4,0,6,1117
7,5,5,1149
9,0,2,1176
1,7,2,1205
7,8,1,1240
9,0,6,1269
1,5,2,1298
7,2,3,1330
2,0,9,1363
2,2,1,1390
2,0,10,1425
4,1,1,1461
1,8,15,1492
2,3,3,1525
0,8,2,1554
1,4,1,1585
2,8,1,1614
0,8,3,1645
3,9,8,1675
7,8,1,1706
2,9,4,1739
3,6,4,1763
8,1,2,1793
1,9,1,1820
1,2,4,1849
7,2,1,1876
2,2,3,1910
1,6,7,1938
8,8,5,1970
7,4,1,2002
7,7,7,2034
1,5,3,2062
5,6,2,2092
2,4,1,2124
4,7,2,2158
7,0,1,2190
0,8,4,2226
8,7,2,2255
1,9,11,2286
1,5,4,2314
3,0,6,2345
7,2,3,2374
5,8,11,2406
6,2,5,2433
6,0,8,2457
9,4,8,2486
6,5,2,2518
3,5,1,2545
1,9,4,2577
6,8,1,2609
7,8,6,2642
0,6,5,2667
4,5,1,2698
3,9,3,2727
5,7,3,2761
2,4,2,2793
9,0,3,2827
7,8,3,2857
7,2,3,2883
1,8,1,2917
6,6,2,2947
5,7,13,2975
8,6,2,3007
1,9,10,3039
7,5,2,3068
3,7,1,3101
9,4,3,3130
5,5,1,3159
9,5,13,3188
7,7,1,3213
7,4,7,3238
4,6,4,3273
8,8,1,3296
6,8,10,3326
2,7,10,3356
6,8,1,3388
0,7,6,3419
9,0,8,3448
7,8,6,3476
7,1,3,3508
5,4,2,3541
7,2,2,3571
2,0,7,3601
3,3,1,3627
7,7,5,3653
8,7,3,3684
9,1,1,3712
6,1,9,3744
5,4,3,3777
4,2,4,3813
7,2,4,3847
8,7,11,3879
8,0,3,3913
5,2,12,3938
4,9,2,3970
2,8,1,3997
6,9,4,4029
3,9,3,4061
4,2,4,4094
5,7,7,4123
2,2,1,4154
3,0,6,4192
7,2,2,4229
1,8,4,4264
2,7,2,4294
8,0,4,4325
3,8,2,4357
8,2,3,4388
7,3,3,4417
3,9,3,4447
2,8,1,4477
3,0,6,4504
3,8,2,4531
0,7,1,4558
7,1,2,4583
8,2,1,4612
0,5,10,4643
7,9,1,4673
1,8,12,4705
7,8,3,4733
2,8,4,4767
6,0,2,4798
5,3,1,4827
0,9,4,4861
4,9,2,4893
4,6,16,4921
5,2,2,4951
6,2,5,4981
0,2,5,5011
1,9,1,5039
10,0,9,5068
0,8,1,5095
9,3,10,5132
5,4,14,5165
2,9,2,5200
3,9,19,5234
8,2,3,5266
5,6,1,5298
0,4,5,5335
7,2,3,5370
1,5,3,5404
3,9,1,5441
8,3,2,5467
8,0,2,5497
0,4,4,5531
7,2,3,5562
3,4,9,5598
0,1,10,5629
3,8,1,5662
8,6,3,5694
7,0,1,5725
2,8,14,5756
0,8,1,5789
2,7,5,5822
1,8,10,5855
2,2,4,5885
2,9,8,5916
3,9,2,5946
3,9,2,5975
7,2,6,6005
6,5,12,6035
3,8,9,6064
7,1,9,6096
8,7,2,6128
7,2,4,6158
0,2,5,6188
1,7,2,6217
2,9,6,6246
7,4,20,6278
6,8,7,6311
1,0,3,6342
8,2,1,6374
3,8,5,6404
7,2,3,6431
6,5,8,6463
1,2,2,6492
5,5,2,6524
7,8,3,6556
5,5,20,6584
1,9,1,6614
8,3,2,6638
0,8,2,6665
0,8,3,6692
0,8,5,6725
5,4,2,6755
1,7,6,6787
2,9,4,6813
6,2,10,6840
6,7,1,6873
5,9,8,6903
6,1,3,6937
2,2,1,6971
0,7,1,7006
1,3,1,7032
7,1,4,7061
5,2,3,7091
0,8,1,7125
0,8,1,7158
6,9,3,7193
2,3,4,7225
9,3,4,7254
8,3,2,7287
3,1,3,7317
0,8,2,7346
7,2,4,7379
9,3,4,7411
8,0,1,7440
7,2,4,7476
1,7,1,7510
0,6,4,7541
1,1,3,7570
7,3,1,7604
0,8,4,7632
4,8,11,7664
4,2,4,7694
2,8,1,7721
8,2,4,7742
0,8,1,7772
2,0,3,7802
5,2,7,7827
7,1,3,7858
3,7,4,7891
1,9,2,7920
1,8,3,7950
9,6,5,7987
7,8,7,8020
9,4,8,8050
7,4,3,8078
5,0,7,8113
7,2,4,8140
4,4,6,8169
4,8,3,8202
4,1,10,8220
0,8,10,8247
6,4,5,8282
3,4,6,8316
0,4,5,8346
0,7,1,8378
8,6,2,8402
4,0,5,8437
3,0,2,8465
2,7,3,8497
4,0,1,8527
7,2,5,8554
2,8,3,8585
8,8,4,8618
2,8,8,8650
2,7,8,8682
3,8,4,8716
3,8,6,8750
2,6,5,8783
5,6,4,8808
2,6,1,8846
9,3,6,8877
2,8,7,8906
1,9,1,8930
2,5,2,8954
1,5,1,8985
7,4,1,9016
7,2,2,9047
7,1,5,9075
1,1,2,9104
1,8,13,9136
3,8,1,9166
0,7,4,9196
5,3,2,9225
5,7,10,9258
1,8,1,9282
7,9,6,9311
9,1,7,9340
1,5,3,9374
5,5,2,9408
5,1,2,9441
7,2,2,9471
1,7,1,9505
3,9,9,9535
9,1,2,9568
2,9,14,9592
7,8,10,9622
6,3,4,9653
7,3,5,9689
1,7,10,9719
7,4,8,9746
0,9,2,9778
2,7,3,9811
8,9,1,9846
8,7,3,9877
2,8,9,9906
0,2,1,9935
8,9,6,9965
8,2,4,10000
9,3,1,10036
2,3,3,10067
3,0,4,10096
3,4,1,10128
6,4,2,10162
3,5,4,10195
2,7,8,10226
6,8,1,10260
7,2,5,10284
8,5,12,10314
3,6,2,10348
6,6,9,10377
1,6,4,10407
4,7,2,10432
2,8,7,10463
1,3,2,10492
3,0,1,10526
4,6,7,10555
3,4,1,10584
3,3,11,10609
6,4,1,10638
7,4,3,10670
6,4,1,10697
5,6,3,10725
4,9,14,10755
6,4,4,10789
4,0,1,10819
1,6,2,10852
5,9,1,10885
2,8,4,10914
1,8,1,10942
3,9,6,10978
8,7,4,11006
5,4,3,11038
2,8,4,11072
4,6,5,11100
7,6,2,11129
7,2,7,11162
2,1,3,11192
8,7,8,11227
3,8,1,11250
2,7,5,11280
5,9,8,11311
10,0,11,11341
9,0,14,11364
6,8,6,11396
6,1,1,11425
5,5,12,11460
4,0,11,11495
1,0,1,11527
8,3,1,11558
2,9,6,11588
3,7,2,11617
0,6,1,11647
1,1,4,11677
6,2,2,11713
2,9,3,11744
1,2,7,11775
6,8,3,11805
5,5,1,11841
3,7,1,11871
5,1,4,11899
2,9,15,11930
8,5,9,11965
8,3,7,11991
1,8,2,12014
1,4,4,12049
10,0,1,12079
6,5,3,12107
1,9,3,12139
7,2,15,12169
0,5,17,12193
7,3,4,12223
3,0,1,12254
0,4,1,12283
0,9,15,12315
3,8,1,12349
2,6,2,12383
5,5,6,12413
